,step,total_cpu_demand,avg_cpu_usage,total_mem_demand,avg_mem_usage
1,1,0.0,0.0,0.0,0.0
2,2,0.2268085479736328,0.004126003810337612,0.4564800262451172,0.015063422066824777
3,3,0.30385589599609375,0.0065590739250183105,0.12569427490234375,0.005119025707244873
4,4,0.37502098083496094,0.010444082062819908,0.1077880859375,0.0047039821230132
5,5,0.2770805358886719,0.006508102416992187,0.3132753372192383,0.008677597045898438
6,6,0.2833690643310547,0.008610877990722656,0.1885519027709961,0.006091232299804687
7,7,0.6731586456298828,0.012648296356201173,0.2740964889526367,0.008601021766662598
8,8,0.2638120651245117,0.008055312292916434,0.23429012298583984,0.012636286871773856
9,9,0.2953929901123047,0.009843690054757255,0.39431285858154297,0.015783945719401043
10,10,0.2884378433227539,0.010612661188299006,0.08473777770996094,0.006699070785984848
11,11,0.20850753784179688,0.009069336785210503,0.26575660705566406,0.009429013287579571
12,12,0.484039306640625,0.011002960205078125,0.5225229263305664,0.02179553985595703
13,13,0.3267507553100586,0.007052939871083136,0.8492002487182617,0.014628887176513672
14,14,0.4772071838378906,0.006060319788315717,0.5301742553710938,0.014503647299373852
15,15,0.38939476013183594,0.007011435248635032,0.14165973663330078,0.004934527657248757
16,16,0.2584819793701172,0.006943182511763139,0.07903671264648438,0.0033484805714000354
17,17,0.2886619567871094,0.007468666349138532,0.12917423248291016,0.004899501800537109
18,18,0.2102222442626953,0.0033391097496295796,0.2812223434448242,0.008378818117339036
19,19,0.3663444519042969,0.005929046207004123,0.33421993255615234,0.007898224724663628
20,20,0.3326072692871094,0.00812750392489963,0.2544717788696289,0.009847720464070639
21,21,0.2703075408935547,0.011944961547851563,0.1336202621459961,0.007947311401367188
22,22,0.290557861328125,0.01078672762270327,0.13182830810546875,0.00627916830557364
23,23,0.40962982177734375,0.011641502380371094,0.14453983306884766,0.008135080337524414
24,24,0.19765853881835938,0.00676971435546875,0.3232860565185547,0.015345344543457031
25,25,0.2056121826171875,0.005812883377075195,0.04119873046875,0.004869699478149414
26,26,0.30640411376953125,0.007181721348916331,0.07278919219970703,0.005840762968986265
27,27,0.3769969940185547,0.005057041461651142,0.31942272186279297,0.017697701087364785
28,28,0.16040611267089844,0.0028418540954589845,0.04870796203613281,0.0026947021484375
29,29,0.3640251159667969,0.004929012722439236,0.23877334594726562,0.009203338623046875
30,30,0.2577171325683594,0.011577577301950165,0.12894630432128906,0.01461393182927912
31,31,0.412994384765625,0.009764601544636051,0.31903839111328125,0.008329996248570884
32,32,0.49753570556640625,0.00830378899207482,0.0789194107055664,0.004825005164513221
33,33,0.5295333862304688,0.005869528826545267,0.4232749938964844,0.008896154515883502
34,34,0.4979238510131836,0.007892424600166186,0.15401649475097656,0.0075999310142115546
35,35,0.6905479431152344,0.006609527432188696,0.4694242477416992,0.010436213746362803
36,36,0.36721038818359375,0.012337684631347656,0.2769489288330078,0.011461750153572328
37,37,0.16273117065429688,0.004788047388980263,0.06724929809570312,0.0037758475855777136
38,38,0.4636573791503906,0.008566298135897009,0.6095037460327148,0.016689742483743806
39,39,0.6123466491699219,0.011406770119300256,0.3495492935180664,0.009932793103731595
40,40,0.3332252502441406,0.011526189531598773,0.32842350006103516,0.012758554731096541
41,41,0.2947711944580078,0.0071231481191274286,0.27764892578125,0.007421184230495144
42,42,0.359832763671875,0.011661774072891627,0.2795896530151367,0.00952454102345002
43,43,0.48256874084472656,0.012619437240972751,0.4983053207397461,0.019921907564488854
44,44,0.8246345520019531,0.01336343765258789,0.4624185562133789,0.011601333618164062
45,45,0.16382789611816406,0.007060357502528599,0.24564266204833984,0.008557966777256556
46,46,0.4062156677246094,0.012110459177117599,0.09882831573486328,0.006153784300151624
47,47,0.5503597259521484,0.007883846759796143,0.2806529998779297,0.0077407558759053545
48,48,0.6304340362548828,0.011109109908815414,0.4213066101074219,0.009809266953241257
49,49,0.785552978515625,0.011464720505934495,0.5501651763916016,0.01364587637094351
50,50,0.5913419723510742,0.006586903019955284,0.4501800537109375,0.009401145734285054
51,51,0.2882957458496094,0.005488372984386626,0.2444744110107422,0.006329922449021112
52,52,0.5707006454467773,0.012287979695334364,0.15798568725585938,0.008299258217882754
53,53,0.5898714065551758,0.010388330979780718,0.3359384536743164,0.009350343184037642
54,54,0.350616455078125,0.010834135660311071,0.4544057846069336,0.014525413513183594
55,55,0.22501373291015625,0.006743234746596392,0.06790542602539062,0.004294619840734145
56,56,0.5503616333007812,0.009590466817220053,0.3277406692504883,0.008167678234623927
57,57,0.5493698120117188,0.011022686958312988,0.4248228073120117,0.008980189050946916
58,58,0.4139060974121094,0.011698404947916666,0.2063770294189453,0.009223580360412598
59,59,0.4233722686767578,0.006280835469563802,0.1495361328125,0.005052863226996528
60,60,0.4794807434082031,0.01070553915841239,0.38465309143066406,0.010365272054866868
61,61,0.2674674987792969,0.01117703408905954,0.2677268981933594,0.010022481282552084
62,62,0.5396251678466797,0.012013891468877378,0.4861440658569336,0.01154569957567298
63,63,0.37087440490722656,0.007421346811147837,0.2960395812988281,0.007477760314941406
64,64,0.27120399475097656,0.007473069268303948,0.13952159881591797,0.00827554754308752
65,65,0.4660043716430664,0.008338512518467048,0.8445882797241211,0.01784938421004858
66,66,0.3632984161376953,0.010630130767822266,0.2817106246948242,0.008434348636203341
67,67,0.34699058532714844,0.004840291064718495,0.07526874542236328,0.0033504859260890794
68,68,0.7412261962890625,0.007690445069343813,0.3583393096923828,0.007875504032258064
69,69,0.35097694396972656,0.008609650351784445,0.2216339111328125,0.007205390930175781
